,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
1238,"JRS","Jpmorgan Russian Securities Plc",ON15,SET3,17.58,10.74,,15.03,
1239,"JSE","Jadestone Energy Plc",AMQ1,ASQ1,"-41.86","-44.02",159.40,"-44.02",
1240,"JSG","Johnson Service Group Plc",AS50,AMSM,5.10,6.60,271.40,6.60,
1241,"JSGI","Jpmorgan Japan Small Cap Growth & Income Plc",SSC5,SSMM,0.69,"-11.55",,0.33,
1242,"JTC","Jtc Plc",F25T,STMM,8.99,17.56,147.50,26.65,
1243,"JUKG","Jupiter Uk Growth Investment Trust Plc",ON15,SET3,0.76,"-0.62",1.17,0.75,
1244,"JUP","Jupiter Fund Management Plc",F25F,STMM,183.70,39.80,617.80,149.60,
1245,"JUS","Jupiter Us Smaller Companies Plc",SSC6,SSMM,0.87,"-0.13",1.86,"-0.13",
1246,"JUSC","Jpmorgan Us Smaller Co. Inv Tst Plc",SSC5,SSMM,2.33,0.25,3.24,1.85,
1247,"JUST","Just Group Plc",F25F,STMM,"-21.40","-15.00",2538.10,"-15.00",
1248,"JWNG","Jaywing Plc",AIMP,ASX1,"-0.36","-0.31",25.96,"-0.31",
1249,"JZCP","Jz Capital Partners Limited",SFQQ,SFM2,2.80,2.80,26.19,2.80,
1250,"JZCZ","Jz Cap. Zdp2022",SFQQ,SFM2,2.80,2.80,26.19,2.80,
1251,"K3C","K3 Capital Group Plc",AMQ1,ASQ1,7.61,0.47,47.17,5.13,
1252,"KAPE","Kape Technologies Plc",AMQ1,ASQ1,24.07,17.26,170.57,17.26,
1253,"KAT","Katoro Gold Plc",AMQ1,ASQ1,"-2.56","-2.44",,"-2.44",
1254,"KAV","Kavango Resources Plc",SQSL,SSX3,"-1.29","-1.51",,"-1.51",
1255,"KAY","Kings Arms Yard Vct Plc",SQQ3,SSQ3,1.18,"-2.40",1.92,1.18,
1256,"KAZ","Kaz Minerals Plc",ON5,SET3,588.06,425.69,1722.49,467.38,
1257,"KBT","K3 Business Technology Group Plc",AIMP,ASX1,"-7.82",3.53,45.27,3.53,
1258,"KCOM","Kcom Group Plc",ON10,SET3,"-31.64","-59.73",281.64,"-33.90",
1259,"KCR","Kcr Residential Reit Plc",AMQ1,ASQ1,"-0.92","-0.92",1.04,"-0.92",
1260,"KCT","Kin And Carta Plc",SSC5,SSMM,"-4.28",2.70,160.34,2.70,
1261,"KDNC","Cadence Minerals Plc",AMQ1,ASQ1,"-0.14","-0.14",,"-0.14",
1262,"KDR","Karelian Diamond Resources Plc",AIMP,ASX1,"-0.36","-0.36",,"-0.36",
1263,"KEFI","Kefi Gold And Copper Plc",ASM6,AMSM,"-4.92","-4.92",,"-4.92",
1264,"KEN","Kendrick Resources Plc",SQS3,SSQ3,"-0.32","-0.32",,"-0.32",
1265,"KETL","Strix Group Plc",ASM6,AMSM,21.51,4.09,119.41,20.60,
1266,"KEYS","Keystone Law Group Plc",AMQ1,ASQ1,83.64,6.65,69.62,6.65,
1267,"KGF","Kingfisher Plc",FS10,SET1,1007.00,589.00,13183.00,843.00,
1268,"KGH","Knights Group Holdings Plc",ASM6,AMSM,1.06,"-2.53",125.60,"-2.53",
1269,"KGP","Kingspan Group Plc",ON5,SET3,689.00,480.60,6497.00,554.10,
1270,"KIBO","Kibo Energy Plc",AMQ1,ASQ1,"-23.15","-22.00",0.00,"-22.00",
1271,"KIE","Kier Group Plc",SSC5,SSMM,5.60,"-0.30",3328.50,"-0.30",
1272,"KINO","Kinovo Plc",AMQ1,ASQ1,2.79,"-10.88",53.33,"-10.88",
1273,"KIST","Kistos Holdings Plc",AMQ1,ASQ1,2.79,"-10.88",53.33,"-10.88",
1274,"KIT","Keystone Investment Trust Plc",SSC6,SSMM,4.88,"-3.02",5.48,4.82,
1275,"KITW","Kitwave Group Plc",ASM6,AMSM,2.12,1.10,380.69,1.10,
1276,"KLR","Keller Group Plc",F25T,STMM,71.60,37.10,2224.40,63.00,
1277,"KLSO","Kelso Group Holdings Plc",SQS3,SSQ3,71.60,37.10,2224.40,63.00,
1278,"KMK","Kromek Group Plc",AMQ1,ASQ1,"-6.13","-4.92",12.05,"-4.92",
1279,"KMR","Kenmare Resources Plc",SSC5,SSMM,101.53,82.92,337.16,95.04,
1280,"KNB","Kanabo Group Plc",SQS3,SSQ3,"-4.55","-4.63",0.07,"-4.63",
1281,"KNOS","Kainos Group Plc",F25T,STMM,45.99,8.35,302.63,35.77,
1282,"KOD","Kodal Minerals Plc",AMQ1,ASQ1,"-0.90","-1.01",,"-1.01",
1283,"KOO","Kooth Plc",AMQ1,ASQ1,"-0.72","-0.31",16.68,"-0.31",
1284,"KOOV","Koovs Plc",AMQ1,ASQ1,"-15.51","-15.51",6.43,"-15.51",
1285,"KOS","Kosmos Energy Ltd",SMEV,SSMU,"-32.08","-57.56",986.34,"-57.56",
1286,"KP2","Kore Potash Plc",AMQ1,ASQ1,"-1.49","-1.49",0.62,"-1.49",
1287,"KPC","Keystone Positive Change Investment Trust Plc",SSC5,SSMM,1.73,"-5.32",2.35,1.60,
1288,"KRM","Krm22 Plc",AMQ1,ASQ1,"-3.42","-3.34",4.13,"-3.34",
1289,"KRPZ","Kropz Plc",AMQ1,ASQ1,"-13.50","-10.20",,"-10.20",
1290,"KRS","Keras Resources Plc",AIMP,ASX1,"-2.01","-1.67",0.45,"-1.67",
1291,"KSK","Ksk Power Ventur Plc",SMEW,SSMU,"-76.33","-50.76",469.52,"-50.76",
1292,"KWG","Kingswood Holdings Limited",AMQ1,ASQ1,"-14.46","-14.86",149.72,"-14.86",
1293,"KWS","Keywords Studios Plc",AS50,AMSM,40.35,28.74,430.74,28.74,
1294,"KYGA","Kerry Group Plc",ON5,SET3,816.30,605.50,7350.60,763.00,
1295,"KZG","Kazera Global Plc",AMQ1,ASQ1,"-1.16","-1.15",0.06,"-1.15",
1296,"LABS","Life Science Reit Plc",SSC5,SSMM,7.74,7.74,0.53,7.74,
1297,"LAM","Lamprell Plc",ON15,SET3,"-44.31","-44.40",287.51,"-44.40",
1298,"LAND","Land Securities Group Plc",FS10,SET1,"-1393.00","-1393.00",635.00,"-1393.00",
1299,"LAS","London & Associated Properties Plc",SQSL,SSX3,1.52,"-0.15",56.48,"-0.15",
1300,"LBE","Longboat Energy Plc",AIMP,ASX1,"-11.59","-4.68",,"-4.68",
1301,"LBG","Lbg Media Plc",ASM8,AMSM,8.13,5.23,54.50,5.23,
1302,"LBOW","Icg-longbow Senior Secured Uk Property Debt Investments Limited",ON10,SET3,7.42,7.41,9.95,7.41,
1303,"LDG","Logistics Development Group Plc",AMQ1,ASQ1,84.66,84.66,,84.66,
1304,"LDSG","Leeds Group Plc",AIMP,ASX1,"-0.51","-0.47",33.01,"-0.47",
1305,"LEAF","Leaf Clean Energy Company",AIMP,ASX1,68.42,60.13,,60.13,
1306,"LEK","Lekoil Limited",AMQ1,ASQ1,"-3.71","-8.73",31.69,"-8.73",
1307,"LEND","Sancus Lending Group Limited",AMQ1,ASQ1,"-10.36","-10.34",9.02,"-10.34",
1308,"LENZ","Sancus Lending Group Limited",SQS3,SSQ3,"-10.36","-10.34",9.02,"-10.34",
1309,"LETS","Let\'s Explore Group Plc",AMQ1,ASQ1,"-10.36","-10.34",9.02,"-10.34",
1310,"LEX","Lexington Gold Ltd",AIMP,ASX1,"-0.76","-0.75",,"-0.75",
1311,"LFI","London Finance & Investment Group Plc",SQQ3,SSQ3,1.87,1.18,,1.51,
1312,"LGEN","Legal & General Group Plc",FS10,SET1,2632.00,987.00,45450.00,2050.00,
1313,"LGRS","Loungers Plc",AMQ1,ASQ1,"-14.72","-11.14",78.35,"-11.14",
1314,"LGT","Lighthouse Group Plc",AIMP,ASX1,2.64,1.89,53.42,2.53,
1315,"LIB","Libertine Holdings Plc",AMQ1,ASQ1,"-3.31","-3.22",0.82,"-3.22",
1316,"LID","Lidco Group Plc",AIMP,ASX1,"-1.21","-1.03",7.55,"-1.03",
1317,"LIDA","Lidco Group Plc",AIMN,ASXN,"-1.21","-1.03",7.55,"-1.03",
1318,"LIFS","Lifesafe Holdings Plc",AMQ1,ASQ1,"-1.21","-1.03",7.55,"-1.03",
1319,"LIKE","Likewise Group Plc",AMQ1,ASQ1,"-0.23","-0.15",60.49,"-0.15",
1320,"LINV","Lendinvest Plc",AMQ1,ASQ1,14.20,10.90,87.80,10.90,
1321,"LIO","Liontrust Asset Management Plc",F25T,STMM,79.29,23.99,245.57,59.20,
1322,"LIT","Litigation Capital Management Limited",ASM6,AMSM,9.35,6.41,26.79,6.41,
1323,"LIV","Livermore Investments Group Limited",ASM8,AMSM,18.31,12.35,,18.26,
1324,"LLAI","Lunglife Ai Inc",AIMP,ASX1,18.31,12.35,,18.26,
1325,"LLOY","Lloyds Banking Group Plc",FE10,SET1,6902.00,4907.00,37444.00,5784.00,
1326,"LME","Limitless Earth Plc",AMQ1,ASQ1,"-0.41","-0.41",0.02,"-0.41",
1327,"LMI","Lonmin Plc",ON10,SET3,52.15,32.21,1031.59,32.21,
1328,"LMP","Londonmetric Property Plc",F25F,STMM,738.30,657.00,133.20,734.50,
1329,"LMS","Lms Capital Plc",ON15,SET3,1.87,1.15,,1.87,
1330,"LND","Landore Resources Limited",AIMP,ASX1,"-3.99","-3.99",,"-3.99",
1331,"LOAD","Crestchic Plc",AIMP,ASX1,"-4.29","-4.95",38.81,"-4.95",
1332,"LOGP","Lansdowne Oil & Gas Plc",AIMP,ASX1,"-0.13","-0.13",,"-0.13",
1333,"LOK","Lok\'n Store Group Plc",AS50,AMSM,6.45,"-0.58",21.89,3.28,
1334,"LOOK","Lookers Plc",SSC5,SSMM,90.00,61.20,4050.70,61.20,
1335,"LOOP","Loopup Group Plc",AMQ1,ASQ1,"-31.02","-27.91",19.53,"-27.91",
1336,"LORD","Lords Group Trading Plc",AMQ1,ASQ1,8.02,5.23,363.29,5.23,
1337,"LPA","Lpa Group Plc",AIMP,ASX1,0.55,0.60,20.71,0.60,
1338,"LRE","Lancashire Holdings Limited",F25F,STMM,4.32,"-20.33",403.38,3.29,
1339,"LSAI","Location Sciences Group Plc",AMQ1,ASQ1,"-1.20","-1.38",0.17,"-1.38",
1340,"LSC","London Security Plc",AIMP,ASX1,27.00,10.10,166.63,19.91,
1341,"LSEG","London Stock Exchange Group Plc",FE10,SET1,987.00,2703.00,6502.00,3129.00,
1342,"LSL","Lsl Property Services Plc",SSC5,SSMM,69.89,61.94,326.83,61.94,
1343,"LSR","The Local Shopping Reit Plc",SMEW,SSMU,"-1.87","-1.87",,"-1.87",
1344,"LST","Light Science Technologies Holdings Plc",AMQ1,ASQ1,"-2.35","-2.17",7.39,"-2.17",
1345,"LTG","Learning Technologies Group Plc",AS50,AMSM,9.33,8.86,258.23,14.92,
1346,"LTHM","Latham (james) Plc",AIMP,ASX1,57.95,41.26,385.37,45.64,
1347,"LTHP","Latham(j)8%prf",AIMN,ASXN,57.95,41.26,385.37,45.64,
1348,"LTI","Lindsell Train Investment Trust Plc",SSC5,SSMM,12.81,2.73,14.78,12.73,
1349,"LUCE","Luceco Plc",SSC5,SSMM,33.30,15.90,228.20,27.10,
1350,"LVCG","Live Company Group Plc",AIMP,ASX1,"-3.32","-3.38",2.67,"-3.38",
1351,"LWB","Low & Bonar Plc",ON10,SET3,"-58.80","-59.70",317.30,"-59.70",
1352,"LWDB","Law Debenture Corporation Plc",F25T,STMM,35.29,"-0.85",76.32,34.08,
1353,"LWI","Lowland Investment Company Plc",SSC6,SSMM,11.63,"-4.64",13.59,11.54,
1354,"LWRF","Lightwaverf Plc",AIMP,ASX1,"-3.61","-3.61",4.09,"-3.61",
1355,"LXB","Lxb Retail Properties Plc",ASM7,AMSM,"-11.67","-11.59",39.67,"-11.59",
1356,"LXI","Lxi Reit Plc",F25T,STMM,161.30,120.90,58.50,162.00,
1357,"MAB","Mitchells & Butlers Plc",F25F,STMM,"-42.00","-65.00",1065.00,"-65.00",
1358,"MAB1","Mortgage Advice Bureau (holdings) Plc",AF50,AMSM,14.86,5.67,148.30,12.38,
1359,"MAC","Marechale Capital Plc",AIMP,ASX1,2.56,2.56,0.62,2.56,
1360,"MAC1","Marwyn Acquisition Company I Limited",SQSL,SSX3,2.56,2.56,0.62,2.56,
1361,"MACA","Mac Alpha Limited",SQS3,SSQ3,2.56,2.56,0.62,2.56,
1362,"MACF","Macfarlane Group Plc",SSC5,SSMM,18.66,8.30,264.46,12.60,
1363,"MACP","Marwyn Acquisition Company Plc",AMQ1,ASQ1,"-0.70","-0.70",,"-0.70",
1364,"MADE","Made.com Group Plc",SQQ3,SSQ3,"-31.40","-27.80",371.90,"-27.80",
1365,"MAFL","Mineral & Financial Investments Limited",AMQ1,ASQ1,0.72,0.70,,0.70,
1366,"MAI","Maintel Holdings Plc",AMQ1,ASQ1,5.24,4.67,103.89,4.67,
1367,"MAIS","Maistro Plc",AMQ1,ASQ1,"-2.40","-2.28",1.18,"-2.28",
1368,"MAJE","Majedie Investments Plc",SSC6,SSMM,5.00,"-1.06",6.15,4.99,
1369,"MANO","Manolete Partners Plc",AMQ1,ASQ1,4.51,3.68,20.44,3.68,
1370,"MANX","Manx Telecom",AMQ1,ASQ1,11.57,"-0.38",81.47,12.96,
1371,"MARS","Marston\'s Plc",SSC5,SSMM,"-171.10",162.80,401.70,162.80,
1372,"MAST","Mast Energy Developments Plc",SQS3,SSQ3,"-1.41","-1.31",0.00,"-1.31",
1373,"MATD","Petro Matad Limited",AMQ1,ASQ1,"-1.56","-1.56",0.03,"-1.56",
1374,"MATE","Jpmorgan Multi-asset Growth & Income Plc",ON15,SET3,2.94,"-0.72",3.55,2.65,
1375,"MAV4","Maven Income & Growth Vct 4 Plc",SQQ3,SSQ3,0.71,"-3.82",2.00,0.62,
1376,"MAVT","Momentum Multi-asset Value Trust Plc",SQQ3,SSQ3,3.32,0.02,4.29,3.32,
1377,"MBH","Michelmersh Brick Holdings Plc",AMQ1,ASQ1,9.70,4.25,59.52,6.13,
1378,"MBO","Mobilityone Limited",AMQ1,ASQ1,2.02,1.52,255.71,1.52,
1379,"MBT","Mobile Tornado Group Plc",AIMP,ASX1,"-1.03","-0.82",3.45,"-0.82",
1380,"MCB","Mcbride Plc",ON10,SET3,11.30,13.40,682.30,13.40,
1381,"MCI","Medcaw Investments Plc",SQS3,SSQ3,"-171.30","-170.27",132.56,"-170.27",
1382,"MCKS","Mckay Securities Plc",SSC5,SSMM,"-16.58","-23.24",28.59,"-16.45",
1383,"MCL","Morses Club Plc",AM25,AMSM,"-42.86","-38.68",111.40,"-33.37",
1384,"MCLS","Mccoll\'s Retail Group Plc",ON25,SET3,"-5.30","-2.70",1258.10,"-2.70",
1385,"MCM","Mc Mining Limited",AMQ1,ASQ1,"-10.37","-9.73",13.85,"-9.73",
1386,"MCON","Mincon Group Plc",AMQ1,ASQ1,14.99,6.65,121.40,12.28,
1387,"MCP","Martin Currie Asia Unconstrained Trust Plc",SSC6,SSMM,3.33,0.19,4.41,3.10,
1388,"MCRO","Micro Focus International Plc",ON5,SET3,"-3784.34","-217.72",2119.39,"-217.72",
1389,"MCS","Mccarthy & Stone Plc",ON10,SET3,43.40,5.80,725.00,35.10,
1390,"MCT","Middlefield Canadian Income Pcc",SSC6,SSMM,4.61,"-1.59",5.50,3.84,
1391,"MDC","Mediclinic International Plc",F25F,STMM,211.00,151.00,3233.00,151.00,
1392,"MDZ","Mediazest Plc",AIMP,ASX1,"-0.14","-0.14",2.25,"-0.14",
1393,"MEAL","Parsley Box Group Plc",AMQ1,ASQ1,"-9.73","-9.73",25.46,"-9.73",
1394,"MED","Intelligent Ultrasound Group Plc",AMQ1,ASQ1,"-4.56","-4.22",5.92,"-4.22",
1395,"MEGP","Me Group International Plc",SSC5,SSMM,"-4.56","-4.22",5.92,"-4.22",
1396,"MEI","Media And Income Trust Plc",SQNC,SSX3,10.14,1.01,,9.65,
1397,"MEN","Molecular Energies Plc",AMQ1,ASQ1,"-0.72","-0.73",,"-0.73",
1398,"MENA","Mena Land Plc",SQS3,SSQ3,"-0.72","-0.73",,"-0.73",
1399,"MER","Mears Group Plc",SSC5,SSMM,16.33,14.12,878.42,14.12,
1400,"MERC","Mercia Asset Management Plc",AMQ1,ASQ1,27.36,26.10,23.18,26.10,
1401,"MERI","Merian Chrysalis Investment Company Limited",SSC6,SSMM,"-3.69","-3.69",,"-3.69",
1402,"MEX","Tortilla Mexican Grill Plc",AMQ1,ASQ1,2.26,1.36,48.08,1.36,
1403,"MFX","Manx Financial Group Plc",AIMP,ASX1,3.04,2.79,,2.79,
1404,"MGAM","Morgan Advanced Materials Plc",F25F,STMM,104.30,54.70,950.50,73.80,
1405,"MGCI","M&g Credit Income Investment Trust Plc",SSC5,SSMM,3.88,"-2.19",5.57,3.88,
1406,"MGGT","Meggitt Plc",ON5,SET3,31.30,31.20,1489.20,31.20,
1407,"MGNS","Morgan Sindall Group Plc",F25T,STMM,126.20,65.60,3212.80,97.90,
1408,"MGP","Medica Group Plc",SSC5,SSMM,7.34,2.30,61.91,5.47,
1409,"MGR","Miton Group Plc",AIMP,ASX1,8.88,4.88,36.17,7.01,
1410,"MHC","Myhealthchecked Plc",AMQ1,ASQ1,2.00,2.00,16.38,2.00,
1411,"MHN","Menhaden Resource Efficiency Plc",SQQ3,SSQ3,0.37,0.30,1.16,0.30,
1412,"MIDW","Midwich Group Plc",AE50,AMSM,18.89,12.43,855.97,12.43,
1413,"MIG","Mobeus Income & Growth 2 Vct Plc",SQQ3,SSQ3,0.27,"-12.85",1.08,0.27,
1414,"MIG1","Maven Income & Growth Vct Plc",SQQ3,SSQ3,0.01,"-2.74",0.76,0.00,
1415,"MIG3","Maven Income And Growth Vct 3 Plc",SQQ3,SSQ3,"-0.04","-1.83",0.76,"-0.04",
1416,"MIG4","Mobeus Income & Growth 4 Vct Plc",SQQ3,SSQ3,0.46,"-5.66",1.35,0.44,
1417,"MIG5","Maven Income And Growth Vct 5 Plc",SQQ3,SSQ3,"-0.22","-3.90",0.52,"-0.02",
1418,"MIG6","Maven Income And Growth Vct 6 Plc",SQQ3,SSQ3,"-0.12","-0.12",,"-0.12",
1419,"MIGO","Migo Opportunities Trust Plc",SQQ3,SSQ3,0.36,0.36,1.45,0.36,
1420,"MII","Milton Capital Plc",SQS3,SSQ3,0.36,0.36,1.45,0.36,
1421,"MILA","Mila Resources Plc",SQS3,SSQ3,"-0.38","-0.38",,"-0.38",
1422,"MIN","Minoan Group Plc",AIMP,ASX1,"-0.75","-0.75",,"-0.75",
1423,"MIND","Mind Gym Plc",AMQ1,ASQ1,"-0.48",1.60,48.67,1.60,
1424,"MINI","Miton Uk Microcap Trust Plc",SQQ3,SSQ3,"-0.12","-0.31",0.70,"-0.17",
1425,"MIRA","Mirada Plc",AIMP,ASX1,"-3.16","-2.99",11.13,"-2.99",
1426,"MIRI","Mirriad Advertising Plc",AMQ1,ASQ1,"-12.02","-10.97",2.01,"-10.97",
1427,"MIX","Mobeus Income & Growth Vct Plc",SQQ3,SSQ3,0.73,"-5.64",1.71,0.68,
1428,"MJH","Mj Hudson Group Plc",AMQ1,ASQ1,"-5.28","-5.38",39.82,"-5.38",
1429,"MKA","Mkango Resources Ltd",AMQ1,ASQ1,2.98,1.65,,1.65,
1430,"MKLW","Mucklow (a & J) Group Plc",ON10,SET3,69.50,55.60,25.10,69.70,
1431,"MKS","Marks And Spencer Group Plc",F25F,STMM,391.70,306.60,10885.10,306.60,
1432,"MLC","Millennium & Copthorne Hotels Plc",ON5,SET3,106.00,22.00,997.00,43.00,
1433,"MLI","Industrials Reit Limited",SSC7,SSMM,108.72,97.45,44.19,107.46,
1434,"MLVN","Malvern International Plc",AMQ1,ASQ1,"-1.59","-1.15",2.42,"-1.15",
1435,"MMAG","Musicmagpie Plc",AMQ1,ASQ1,"-14.82","-12.12",145.51,"-12.12",
1436,"MMC","Management Consulting Group Plc",ON15,SET3,6.95,"-13.73",28.29,"-13.73",
1437,"MMH","Marshall Motor Holdings Plc",AMQ1,ASQ1,20.36,13.92,2154.42,13.92,
1438,"MMIT","Mobius Investment Trust Plc",SSC7,SSMM,0.74,0.57,1.70,0.57,
1439,"MMM","Mining Minerals & Metals Plc",SQS3,SSQ3,0.74,0.57,1.70,0.57,
1440,"MMX","Minds + Machines Group Limited",AMQ1,ASQ1,2.19,2.18,12.31,2.18,
1441,"MNDI","Mondi Plc",FS10,SET1,826.67,377.59,6494.75,628.20,
1442,"MNG","M&g Plc",FS10,SET1,707.00,"-383.00",17772.00,83.00,
1443,"MNHA","Marshall Motor Holdings Plc",AIMN,ASXN,707.00,"-383.00",17772.00,83.00,
1444,"MNKS","Monks Investment Trust Plc",F25F,STMM,10.16,3.92,27.81,8.64,
1445,"MNL","Manchester & London Investment Trust Plc",SSC5,SSMM,"-1.81","-7.31",,"-1.86",
1446,"MNO","Maestrano Group Plc",AMQ1,ASQ1,"-1.22","-1.02",1.69,"-1.02",
1447,"MNP","Martin Currie Global Portfolio Trust Plc",SSC5,SSMM,1.47,"-2.43",2.50,1.16,
1448,"MNRG","Metalnrg Plc",SQS3,SSQ3,"-1.86","-1.86",,"-1.86",
1449,"MNZS","Menzies(john) Plc",ON10,SET3,29.70,15.20,1352.50,15.20,
1450,"MOD","Mod Resources Limited",SQSL,SSX3,29.70,15.20,1352.50,15.20,
1451,"MODE","Mode Global Holdings Plc",SQS3,SSQ3,"-9.21","-8.95",1.31,"-8.95",
1452,"MOGP","Mountfield Group Plc",AMQ1,ASQ1,0.84,0.67,20.99,0.67,
1453,"MONY","Moneysupermarket.com Group Plc",F25F,STMM,70.20,"-10.10",316.70,52.70,
1454,"MOON","Moonpig Group Plc",SSC5,SSMM,39.96,31.44,304.33,31.44,
1455,"MORE","Hostmore Plc",ON10,SET3,39.96,31.44,304.33,31.44,
1456,"MORT","Mortice Limited",AMQ1,ASQ1,3.26,2.03,157.92,2.03,
1457,"MOS","Mobile Streams Plc",AIMP,ASX1,"-1.03","-1.03",0.40,"-1.03",
1458,"MOSB","Moss Bros Group Plc",ON15,SET3,"-4.21","-7.33",128.99,"-3.85",
1459,"MOTR","Motorpoint Group Plc",SSC5,SSMM,21.50,16.90,1322.30,16.90,
1460,"MPAC","Mpac Group Plc",AMQ1,ASQ1,8.20,7.80,94.30,7.80,
1461,"MPAY","Mi-pay Group Plc",AMQ1,ASQ1,"-0.22","-0.23",3.34,"-0.23",
1462,"MPE","M.p. Evans Group Plc",AS50,AMSM,66.02,48.72,204.53,63.89,
1463,"MPH","Mereo Biopharma Group Plc",AMSR,ASX1,"-41.12","-34.84",,"-34.84",
1464,"MPL","Mercantile Ports & Logistics Limited",AMQ1,ASQ1,"-6.01","-6.02",1.80,"-6.02",
1465,"MPLS","Marble Point Loan Financing Limited",SFQQ,SFM2,"-6.01","-6.02",1.80,"-6.02",
1466,"MPM","Mporium Group Plc",AMQ1,ASQ1,"-7.73","-7.20",0.91,"-7.20",
1467,"MPO","Macau Property Opportunities Fund Limited",ON15,SET3,"-1.63","-1.79",,"-1.79",
1468,"MRC","Mercantile Investment Trust (the) Plc",F25F,STMM,52.97,"-1.55",60.99,51.48,
1469,"MRCH","Merchants Trust Plc",F25T,STMM,32.24,"-1.67",35.29,31.84,
1470,"MRIT","Merit Group Plc",AIMP,ASX1,"-1.86","-1.57",27.40,"-1.57",
1471,"MRK","Marks Electrical Group Plc",AMQ1,ASQ1,3.77,"-0.60",80.48,3.29,
1472,"MRL","Marlowe Plc",AMQ1,ASQ1,5.90,0.70,315.90,0.70,
1473,"MRO","Melrose Industries Plc",FS10,SET1,"-618.00",833.00,6883.00,833.00,
1474,"MRS","Management Resource Solutions Plc",AMQ1,ASQ1,4.57,4.11,52.30,4.11,
1475,"MRW","Morrison (wm) Supermarkets Plc",ON5,SET3,165.00,"-165.00",17598.00,96.00,
1476,"MSD","Musedia Corporation",SQNC,SSX3,165.00,"-165.00",17598.00,96.00,
1477,"MSI","Ms International Plc",AMQ1,ASQ1,5.97,3.62,74.52,4.93,
1478,"MSLH","Marshalls Plc",F25F,STMM,69.32,54.81,589.26,54.81,
1479,"MSMN","Mosman Oil And Gas Limited",AMQ1,ASQ1,"-0.98","-0.90",0.59,"-0.90",
1480,"MSYS","Microsaic Systems Plc",AMQ1,ASQ1,"-3.40","-3.13",0.91,"-3.13",
1481,"MTC","Mothercare Plc",ASM7,AMSM,"-21.40","-21.50",85.80,"-21.50",
1482,"MTE","Montanaro European Smaller C. Tst Plc",SSC5,SSMM,2.07,0.08,3.79,1.72,
1483,"MTEC","Made Tech Group Plc",AMQ1,ASQ1,2.07,0.08,3.79,1.72,
1484,"MTFB","Motif Bio Plc",ASM6,AMSM,"-0.54","-0.54",,"-0.54",
1485,"MTL","Metals Exploration Plc",AIMP,ASX1,11.30,11.29,129.84,11.29,
1486,"MTMY","Matomy Media Group Ltd.",HG15,HGS1,"-19.38","-20.96",74.03,"-20.96",
1487,"MTO","Mitie Group Plc",F25T,STMM,52.30,31.30,3903.30,31.30,
1488,"MTPH","Midatech Pharma Plc",AMQ1,ASQ1,"-6.11","-5.46",0.58,"-5.46",
1489,"MTR","Metal Tiger Plc",AMQ1,ASQ1,4.21,4.17,,4.17,
1490,"MTRO","Metro Bank Plc",SSC5,SSMM,"-248.20","-256.60",418.50,"-256.60",
1491,"MTU","Montanaro Uk Smaller Companies Investment Trust Plc",SSC5,SSMM,2.84,"-5.50",3.98,2.84,
1492,"MTVW","Mountview Estates Plc",ON15,SET3,34.87,"-1.38",66.01,26.88,
1493,"MTW","Mattioli Woods Plc",AIMP,ASX1,5.15,"-4.23",62.62,1.42,
1494,"MUBL","Mbl Group Plc",AIMP,ASX1,"-1.03","-1.50",,"-1.50",
1495,"MUL","Mulberry Group Plc",AMQ1,ASQ1,21.33,19.98,152.41,19.98,
1496,"MUR","Murgitroyd Group Plc",AIMP,ASX1,4.16,1.05,47.97,2.99,
1497,"MUST","Mustang Energy Plc",SQS3,SSQ3,"-0.20","-0.20",,"-0.20",
1498,"MUT","Murray Income Trust Plc",F25T,STMM,33.22,4.29,35.98,32.94,
1499,"MVCT","Molten Ventures Vct Plc",SQQ3,SSQ3,"-0.54","-4.89",0.30,"-0.54",
1500,"MVI","Marwyn Value Investors Limited",SFQQ,SFM2,5.06,5.06,5.06,5.06,
1501,"MVIR","Marwyn Value Investors Limited",SFQQ,SFM2,5.06,5.06,5.06,5.06,
1502,"MVR","Melodyvr Group Plc",AMQ1,ASQ1,"-11.39","-11.27",1.18,"-11.27",
1503,"MVR2","Marwyn Value Investors Limited",SFQQ,SFM2,"-11.39","-11.27",1.18,"-11.27",
1504,"MWE","Mti Wireless Edge Ltd.",AIMP,ASX1,2.99,1.03,31.93,2.66,
1505,"MWG","Modern Water Plc",AMQ1,ASQ1,"-1.65","-1.49",2.94,"-1.49",
1506,"MWGA","Modern Water Plc",AIMN,ASXN,"-1.65","-1.49",2.94,"-1.49",
1507,"MWY","Mid-wynd International Investment Trust Plc",SSC5,SSMM,4.35,0.35,5.29,3.80,
1508,"MXC","Mgc Pharmaceuticals Limited",SQS3,SSQ3,4.35,0.35,5.29,3.80,
1509,"MXCL","Maxcyte Inc",AMSR,ASX1,4.35,0.35,5.29,3.80,
1510,"MXCN","Maxcyte Inc",AMSR,ASX1,4.35,0.35,5.29,3.80,
1511,"MXCP","Mxc Capital Limited",AMQ1,ASQ1,9.06,9.06,3.26,9.06,
1512,"MXCS","Maxcyte Inc",AMSR,ASX1,9.06,9.06,3.26,9.06,
1513,"MXCT","Maxcyte Inc",AMQ1,ASQ1,"-14.11","-14.11",25.06,"-14.11",
1514,"MXO","Mx Oil Plc",AIMP,ASX1,"-3.44","-4.18",1.73,"-4.18",
