,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
93,"AGTA","Agriterra Ld",ASM8,AMSM,"-1.59","-1.59",10.34,"-1.59",
94,"AGY","Allergy Therapeutics Plc",AMQ1,ASQ1,3.66,2.89,84.33,2.89,
95,"AHT","Ashtead Group Plc",FE10,SET1,936.00,515.30,5031.10,697.40,
96,"AIBG","Aib Group Plc",ON5,SET3,528.96,544.10,1752.56,544.10,
97,"AIE","Ashoka India Equity Investment Trust Plc",SSC6,SSMM,0.12,0.06,0.63,0.06,
98,"AIEA","Airea Plc",AIMP,ASX1,1.29,1.04,15.87,1.04,
99,"AIF","Acorn Income Fund Ld",SQQ3,SSQ3,3.53,0.24,4.22,3.53,
100,"AIFZ","Acorn Income Z",SQS3,SSQ3,3.53,0.24,4.22,3.53,
101,"AIQ","Aiq Limited",SQS3,SSQ3,"-1.19","-1.19",0.06,"-1.19",
102,"AIR","Air Partner Plc",ON10,SET3,8.38,5.12,71.17,5.63,
103,"AIRE","Alternative Income Reit Plc",SQQ3,SSQ3,5.57,1.62,7.41,5.57,
104,"AJAX","Ajax Resources Plc",SQS3,SSQ3,5.57,1.62,7.41,5.57,
105,"AJB","Aj Bell Plc",F25T,STMM,55.08,14.68,145.83,43.82,
106,"AJG","Atlantis Japan Growth Fund Ld",SQQ3,SSQ3,"-0.21","-0.40",1.27,"-0.40",
107,"AJIT","Abrdn Japan Investment Trust Plc",ON15,SET3,1.31,"-0.85",2.00,1.11,
108,"AJOT","Avi Japan Opportunity Trust Plc",SSC7,SSMM,2.36,0.24,3.19,2.03,
109,"ALAI","Abrdn Latin American Income Fund Limited",SQQ3,SSQ3,1.57,"-0.48",2.10,1.52,
110,"ALB","Albert Technologies Ltd",AMQ1,ASQ1,"-12.64","-12.38",4.61,"-12.38",
111,"ALBA","Alba Mineral Resources Plc",AMQ1,ASQ1,"-1.84","-1.70",,"-1.70",
112,"ALFA","Alfa Financial Software Holdings Plc",SSC5,SSMM,23.80,19.20,83.20,19.20,
113,"ALGW","Alpha Growth Plc",SQS3,SSQ3,"-0.64","-0.64",,"-0.64",
114,"ALK","Alkemy Capital Investments Plc",SQS3,SSQ3,"-0.80","-0.80",,"-0.80",
115,"ALL","Atlantic Lithium Limited",ASM6,AMSM,"-2.48","-2.66",0.03,"-2.66",
116,"ALM","Allied Minds Plc",ON15,SET3,"-16.24","-15.53",1.54,"-15.53",
117,"ALNA","Alina Holdings Plc",SMEW,SSMU,"-0.29","-0.29",,"-0.29",
118,"ALPH","Alpha Group International Plc",AMQ1,ASQ1,"-12.38","-12.38",0.41,"-12.38",
119,"ALS","Altus Strategies Plc",AMQ1,ASQ1,"-5.69","-6.19",0.32,"-6.19",
120,"ALT","Altitude Group Plc",AMQ1,ASQ1,"-0.16",0.10,11.94,0.10,
121,"ALTE","Alteration Earth Plc",SQS3,SSQ3,"-0.16",0.10,11.94,0.10,
122,"ALTN","Altyngold Plc",ON15,SET3,13.51,13.55,37.19,13.55,
123,"ALU","Alumasc Group Plc",AMQ1,ASQ1,9.80,5.71,90.47,7.59,
124,"ALY","Ashley (laura) Holdings Plc",ON15,SET3,"-14.30","-14.00",232.50,"-14.00",
125,"AMAT","Amati Aim Vct Plc",SQQ3,SSQ3,"-0.93","-12.75",0.70,"-0.93",
126,"AMC","Amur Minerals Corporation",ASM8,AMSM,"-1.32","-0.89",,"-0.89",
127,"AMER","Amerisur Resources Plc",ASM6,AMSM,6.60,1.24,84.88,1.24,
128,"AMGO","Amigo Holdings Plc",SQQ3,SSQ3,167.90,169.60,89.50,169.60,
129,"AML","Aston Martin Lagonda Global Holdings Plc",F25T,STMM,"-213.80","-183.90",1095.30,"-183.90",
130,"AMOI","Anemoi International Ltd",SQS3,SSQ3,"-0.20","-0.20",,"-0.20",
131,"AMP","Amphion Innovations Plc",AIMP,ASX1,"-13.64","-13.64",0.11,"-13.64",
132,"AMPH","Aggregated Micro Power Holdings Plc",AMQ1,ASQ1,"-5.72","-5.51",49.54,"-5.51",
133,"AMRQ","Amaroq Minerals Ltd.",AMQ1,ASQ1,"-7.09","-7.09",,"-7.09",
134,"AMS","Advanced Medical Solutions Group Plc",AS50,AMSM,21.98,13.64,108.60,17.48,
135,"AMTE","Amte Power Plc",AMQ1,ASQ1,"-3.98","-3.70",1.97,"-3.70",
136,"AMYT","Amryt Pharma Plc",AMQ1,ASQ1,"-56.50","-55.46",49.19,"-55.46",
137,"ANCR","Animalcare Group Plc",AMQ1,ASQ1,0.94,"-2.48",74.02,"-0.08",
138,"ANG","Angling Direct Plc",AMQ1,ASQ1,4.02,3.08,72.47,3.08,
139,"ANGS","Angus Energy Plc",AMQ1,ASQ1,"-15.60","-15.60",,"-15.60",
140,"ANIC","Agronomics Limited",AMQ1,ASQ1,1.02,1.02,10.67,1.02,
141,"ANII","Aberdeen New India Investment Trust Plc",SSC6,SSMM,1.23,1.23,5.18,1.23,
142,"ANP","Anpario Plc",AIMP,ASX1,5.70,2.66,33.37,4.68,
143,"ANTO","Antofagasta Plc",FS10,SET1,2571.22,428.45,5523.93,954.07,
144,"ANW","Aberdeen New Thai Investment Trust Plc",ON15,SET3,2.68,"-0.74",3.26,2.38,
145,"ANX","Anexo Group Plc",AMQ1,ASQ1,23.75,17.41,118.24,19.15,
146,"AO.","Ao World Plc",SSC5,SSMM,"-37.20","-30.40",1557.30,"-30.40",
147,"AOGL","Attis Oil And Gas Ltd",AMQ1,ASQ1,"-2.52","-2.52",0.08,"-2.52",
148,"AOM","Activeops Plc",AMQ1,ASQ1,"-2.61","-2.73",22.92,"-2.73",
149,"AOR","Aortech International Plc",AIMP,ASX1,"-0.63","-0.61",0.46,"-0.61",
150,"APAX","Apax Global Alpha Limited",F25T,STMM,290.24,235.74,304.66,290.05,
151,"APEO","Abrdn Private Equity Opportunities Trust Plc",F25T,STMM,6.74,"-14.60",8.97,6.01,
152,"APGN","Applegreen Plc",AMQ1,ASQ1,31.48,16.62,2600.12,18.23,
153,"APH","Alliance Pharma Plc",AS50,AMSM,18.16,"-1.28",163.21,7.32,
